"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"po177447","dipetala","-120.880035","36.358238","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177449","dipetala","-120.819392","36.303593","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177450","dipetala","-120.805678","36.301368","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178534","dipetala","-120.478245","35.941249","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178535","dipetala","-120.479574","35.941127","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178536","dipetala","-120.476419","35.932264","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178537","dipetala","-120.479247","35.933216","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178538","dipetala","-120.480865","35.933117","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178539","dipetala","-120.483215","35.933428","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178540","dipetala","-120.484407","35.933779","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178541","dipetala","-120.496478","35.960763","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178542","dipetala","-120.49716","35.960466","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po178543","dipetala","-120.499072","35.96223","Two petaled ash","","2021-01-28","","Monterey","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
